ds,y,Predicted_Sales
2014-01-31,14236.895,14790.56420546558
2014-02-28,4519.892,5778.539467165996
2014-03-31,55691.009,41875.34394075954
2014-04-30,28295.345,25662.724026431613
2014-05-31,23648.287,25711.9282155646
2014-06-30,34595.1276,26711.737279957204
2014-07-31,33946.393,26438.13390747041
2014-08-31,27909.4685,30856.59159904937
2014-09-30,81777.3508,67621.11814812917
2014-10-31,31453.393,36077.387272553606
2014-11-30,78628.7167,78301.26791298561
2014-12-31,69545.6205,69991.58410018883
2015-01-31,18174.0756,18738.34117858019
2015-02-28,11951.411,13880.71506049961
2015-03-31,38726.252,49598.62624517961
2015-04-30,34195.2085,34576.016670027944
2015-05-31,30131.6865,26387.612896055936
2015-06-30,24797.292,31085.925346108117
2015-07-31,28765.325,33255.72041821302
2015-08-31,36898.3322,40664.29405847435
2015-09-30,64595.918,76492.06827672027
2015-10-31,31404.9235,35984.17831350186
2015-11-30,75972.5635,86921.116986357
2015-12-31,74919.5212,75920.60614436638
2016-01-31,18542.491,23165.283679282697
2016-02-29,22978.815000000002,14902.055134316306
2016-03-31,51715.875,51723.80468269591
2016-04-30,38750.039,33016.277894802144
2016-05-31,56987.728,49868.217038638424
2016-06-30,40344.534,44187.68679167141
2016-07-31,39261.963,39287.643321273594
2016-08-31,31115.3743,37700.29519678585
2016-09-30,73410.0249,75996.70555327742
2016-10-31,59687.745,62955.82738327219
2016-11-30,79411.9658,88181.70952747535
2016-12-31,96999.043,85608.11629318143
2017-01-31,43971.374,38211.23616816448
2017-02-28,20301.1334,25246.65974484324
2017-03-31,58872.3528,61845.98893346286
2017-04-30,36521.5361,44535.97357078336
2017-05-31,44261.1102,53069.81845128048
2017-06-30,52981.7257,50739.85279690142
2017-07-31,45264.416,48243.1507482624
2017-08-31,63120.888,49797.13243424838
2017-09-30,87866.652,87518.63702483861
2017-10-31,77776.9232,65271.070688600455
2017-11-30,118447.825,99056.32019069268
2017-12-31,83829.3188,93756.95158564158
